file_name,source_path,athlete_id,technique,condition,trial,sampling_rate_hz,units_position,units_angle,units_force,units_moment,units_power,number_of_points,number_of_frames,duration_s,number_of_derived_variables,subject_ids,subject_prefixes,tarcza_marker_count,analog_used,signal_avail_RFIN,signal_avail_RTOE,signal_avail_LTOE,signal_avail_RANK,signal_avail_LANK,signal_avail_RHEE,signal_avail_LHEE
2017-03-07-B0395-S01-E01-T01.c3d,atletas\B0395\2017-03-07-B0395-S01\2017-03-07-B0395-S01-E01-T01.c3d,B0395,S01,E01,T01,250.0,mm,deg,N,Nmm,W,191,1460,5.84,74,B0395,B0395,0,28,True,True,True,True,True,True,True
2017-03-07-B0395-S01-E01-T02.c3d,atletas\B0395\2017-03-07-B0395-S01\2017-03-07-B0395-S01-E01-T02.c3d,B0395,S01,E01,T02,250.0,mm,deg,N,Nmm,W,191,1547,6.188,74,B0395,B0395,0,28,True,True,True,True,True,True,True
2017-03-07-B0395-S01-E02-T01.c3d,atletas\B0395\2017-03-07-B0395-S01\2017-03-07-B0395-S01-E02-T01.c3d,B0395,S01,E02,T01,250.0,mm,deg,N,Nmm,W,195,1593,6.372,74,Tarcza|B0395,Tarcza|B0395,4,28,True,True,True,True,True,True,True
2017-03-07-B0395-S01-E02-T02.c3d,atletas\B0395\2017-03-07-B0395-S01\2017-03-07-B0395-S01-E02-T02.c3d,B0395,S01,E02,T02,250.0,mm,deg,N,Nmm,W,195,1400,5.6,74,Tarcza|B0395,Tarcza|B0395,4,28,True,True,True,True,True,True,True
2017-03-07-B0395-S01-E03-T01.c3d,atletas\B0395\2017-03-07-B0395-S01\2017-03-07-B0395-S01-E03-T01.c3d,B0395,S01,E03,T01,250.0,mm,deg,N,Nmm,W,382,1677,6.708,25,B0396|B0395,B0396|B0395,0,28,True,True,True,True,True,True,True
2017-03-07-B0395-S01-E03-T02.c3d,atletas\B0395\2017-03-07-B0395-S01\2017-03-07-B0395-S01-E03-T02.c3d,B0395,S01,E03,T02,250.0,mm,deg,N,Nmm,W,382,1666,6.664,25,B0396|B0395,B0396|B0395,0,28,True,True,True,True,True,True,True
2017-03-07-B0395-S01-E03-T03.c3d,atletas\B0395\2017-03-07-B0395-S01\2017-03-07-B0395-S01-E03-T03.c3d,B0395,S01,E03,T03,250.0,mm,deg,N,Nmm,W,382,1840,7.36,25,B0396|B0395,B0396|B0395,0,28,True,True,True,True,True,True,True
2017-03-07-B0395-S01-E04-T01.c3d,atletas\B0395\2017-03-07-B0395-S01\2017-03-07-B0395-S01-E04-T01.c3d,B0395,S01,E04,T01,250.0,mm,deg,N,Nmm,W,382,2145,8.58,25,B0396|B0395,B0396|B0395,0,28,True,True,True,True,True,True,True
2017-03-07-B0395-S01-E04-T02.c3d,atletas\B0395\2017-03-07-B0395-S01\2017-03-07-B0395-S01-E04-T02.c3d,B0395,S01,E04,T02,250.0,mm,deg,N,Nmm,W,382,2164,8.656,25,B0396|B0395,B0396|B0395,0,28,True,True,True,True,True,True,True
2017-03-07-B0395-S02-E01-T01.c3d,atletas\B0395\2017-03-07-B0395-S02\2017-03-07-B0395-S02-E01-T01.c3d,B0395,S02,E01,T01,250.0,mm,deg,N,Nmm,W,191,1594,6.376,74,B0395,B0395,0,28,True,True,True,True,True,True,True
