file_name,source_path,athlete_id,technique,condition,trial,sampling_rate_hz,units_position,units_angle,units_force,units_moment,units_power,number_of_points,number_of_frames,duration_s,number_of_derived_variables,subject_ids,subject_prefixes,tarcza_marker_count,analog_used,signal_avail_RFIN,signal_avail_RTOE,signal_avail_LTOE,signal_avail_RANK,signal_avail_LANK,signal_avail_RHEE,signal_avail_LHEE
2017-03-03-B0386-S01-E01-T01.c3d,atletas\B0386\2017-03-03-B0386-S01\2017-03-03-B0386-S01-E01-T01.c3d,B0386,S01,E01,T01,250.0,mm,deg,N,Nmm,W,191,2107,8.428,74,B0386,B0386,0,0,True,True,True,True,True,True,True
2017-03-03-B0386-S01-E01-T02.c3d,atletas\B0386\2017-03-03-B0386-S01\2017-03-03-B0386-S01-E01-T02.c3d,B0386,S01,E01,T02,250.0,mm,deg,N,Nmm,W,191,1926,7.704,74,B0386,B0386,0,0,True,True,True,True,True,True,True
2017-03-03-B0386-S01-E02-T01.c3d,atletas\B0386\2017-03-03-B0386-S01\2017-03-03-B0386-S01-E02-T01.c3d,B0386,S01,E02,T01,250.0,mm,deg,N,Nmm,W,195,1671,6.684,74,Tarcza|B0386,Tarcza|B0386,4,0,True,True,True,True,True,True,True
2017-03-03-B0386-S01-E02-T02.c3d,atletas\B0386\2017-03-03-B0386-S01\2017-03-03-B0386-S01-E02-T02.c3d,B0386,S01,E02,T02,250.0,mm,deg,N,Nmm,W,195,1565,6.26,74,Tarcza|B0386,Tarcza|B0386,4,0,True,True,True,True,True,True,True
2017-03-03-B0386-S01-E03-T01.c3d,atletas\B0386\2017-03-03-B0386-S01\2017-03-03-B0386-S01-E03-T01.c3d,B0386,S01,E03,T01,250.0,mm,deg,N,Nmm,W,382,3910,15.64,25,B0386|B0385,B0386|B0385,0,0,True,True,True,True,True,True,True
2017-03-03-B0386-S01-E03-T02.c3d,atletas\B0386\2017-03-03-B0386-S01\2017-03-03-B0386-S01-E03-T02.c3d,B0386,S01,E03,T02,250.0,mm,deg,N,Nmm,W,382,2114,8.456,25,B0386|B0385,B0386|B0385,0,0,True,True,True,True,True,True,True
2017-03-03-B0386-S01-E04-T01.c3d,atletas\B0386\2017-03-03-B0386-S01\2017-03-03-B0386-S01-E04-T01.c3d,B0386,S01,E04,T01,250.0,mm,deg,N,Nmm,W,382,3206,12.824,25,B0387|B0386,B0387|B0386,0,0,True,True,True,True,True,True,True
2017-03-03-B0386-S01-E04-T02.c3d,atletas\B0386\2017-03-03-B0386-S01\2017-03-03-B0386-S01-E04-T02.c3d,B0386,S01,E04,T02,250.0,mm,deg,N,Nmm,W,382,2314,9.256,25,B0387|B0386,B0387|B0386,0,0,True,True,True,True,True,True,True
2017-03-03-B0386-S02-E01-T01.c3d,atletas\B0386\2017-03-03-B0386-S02\2017-03-03-B0386-S02-E01-T01.c3d,B0386,S02,E01,T01,250.0,mm,deg,N,Nmm,W,191,1803,7.212,74,B0386,B0386,0,0,True,True,True,True,True,True,True
2017-03-03-B0386-S02-E01-T02.c3d,atletas\B0386\2017-03-03-B0386-S02\2017-03-03-B0386-S02-E01-T02.c3d,B0386,S02,E01,T02,250.0,mm,deg,N,Nmm,W,193,1808,7.232,74,B0386,B0386,0,0,True,True,True,True,True,True,True
