file_name,source_path,athlete_id,technique,condition,trial,sampling_rate_hz,units_position,units_angle,units_force,units_moment,units_power,number_of_points,number_of_frames,duration_s,number_of_derived_variables,subject_ids,subject_prefixes,tarcza_marker_count,analog_used,signal_avail_RFIN,signal_avail_RTOE,signal_avail_LTOE,signal_avail_RANK,signal_avail_LANK,signal_avail_RHEE,signal_avail_LHEE
2017-01-31-B0369-S01-E01-T01.c3d,atletas\B0369\2017-01-31-B0369-S01\2017-01-31-B0369-S01-E01-T01.c3d,B0369,S01,E01,T01,200.0,mm,deg,N,Nmm,W,191,1884,9.42,74,B0369,B0369,0,0,True,True,True,True,True,True,True
2017-01-31-B0369-S01-E01-T02.c3d,atletas\B0369\2017-01-31-B0369-S01\2017-01-31-B0369-S01-E01-T02.c3d,B0369,S01,E01,T02,200.0,mm,deg,N,Nmm,W,191,1791,8.955,74,B0369,B0369,0,0,True,True,True,True,True,True,True
2017-01-31-B0369-S01-E02-T01.c3d,atletas\B0369\2017-01-31-B0369-S01\2017-01-31-B0369-S01-E02-T01.c3d,B0369,S01,E02,T01,200.0,mm,deg,N,Nmm,W,197,1632,8.16,74,Tarcza|B0369,Tarcza|B0369,6,0,True,True,True,True,True,True,True
2017-01-31-B0369-S01-E02-T02.c3d,atletas\B0369\2017-01-31-B0369-S01\2017-01-31-B0369-S01-E02-T02.c3d,B0369,S01,E02,T02,200.0,mm,deg,N,Nmm,W,197,1512,7.56,74,Tarcza|B0369,Tarcza|B0369,6,0,True,True,True,True,True,True,True
2017-01-31-B0369-S01-E04-T01.c3d,atletas\B0369\2017-01-31-B0369-S01\2017-01-31-B0369-S01-E04-T01.c3d,B0369,S01,E04,T01,200.0,mm,deg,N,Nmm,W,382,1608,8.04,25,B0370|B0369,B0370|B0369,0,0,True,True,True,True,True,True,True
2017-01-31-B0369-S01-E04-T02.c3d,atletas\B0369\2017-01-31-B0369-S01\2017-01-31-B0369-S01-E04-T02.c3d,B0369,S01,E04,T02,200.0,mm,deg,N,Nmm,W,382,2043,10.215,25,B0370|B0369,B0370|B0369,0,0,True,True,True,True,True,True,True
2017-01-31-B0369-S02-E01-T01.c3d,atletas\B0369\2017-01-31-B0369-S02\2017-01-31-B0369-S02-E01-T01.c3d,B0369,S02,E01,T01,200.0,mm,deg,N,Nmm,W,191,1715,8.575,74,B0369,B0369,0,0,True,True,True,True,True,True,True
2017-01-31-B0369-S02-E01-T02.c3d,atletas\B0369\2017-01-31-B0369-S02\2017-01-31-B0369-S02-E01-T02.c3d,B0369,S02,E01,T02,200.0,mm,deg,N,Nmm,W,191,1677,8.385,74,B0369,B0369,0,0,True,True,True,True,True,True,True
2017-01-31-B0369-S02-E02-T01.c3d,atletas\B0369\2017-01-31-B0369-S02\2017-01-31-B0369-S02-E02-T01.c3d,B0369,S02,E02,T01,200.0,mm,deg,N,Nmm,W,197,1879,9.395,74,Tarcza|B0369,Tarcza|B0369,6,0,True,True,True,True,True,True,True
2017-01-31-B0369-S02-E02-T02.c3d,atletas\B0369\2017-01-31-B0369-S02\2017-01-31-B0369-S02-E02-T02.c3d,B0369,S02,E02,T02,200.0,mm,deg,N,Nmm,W,197,1936,9.68,74,Tarcza|B0369,Tarcza|B0369,6,0,True,True,True,True,True,True,True
2017-01-31-B0369-S02-E04-T01.c3d,atletas\B0369\2017-01-31-B0369-S02\2017-01-31-B0369-S02-E04-T01.c3d,B0369,S02,E04,T01,200.0,mm,deg,N,Nmm,W,382,1986,9.93,25,B0370|B0369,B0370|B0369,0,0,True,True,True,True,True,True,True
