file_name,source_path,athlete_id,technique,condition,trial,sampling_rate_hz,units_position,units_angle,units_force,units_moment,units_power,number_of_points,number_of_frames,duration_s,number_of_derived_variables,subject_ids,subject_prefixes,tarcza_marker_count,analog_used,signal_avail_RFIN,signal_avail_RTOE,signal_avail_LTOE,signal_avail_RANK,signal_avail_LANK,signal_avail_RHEE,signal_avail_LHEE
2017-03-07-B0393-S01-E01-T01.c3d,atletas\B0393\2017-03-07-B0393-S01\2017-03-07-B0393-S01-E01-T01.c3d,B0393,S01,E01,T01,250.0,mm,deg,N,Nmm,W,191,1407,5.628,74,B0393,B0393,0,28,True,True,True,True,True,True,True
2017-03-07-B0393-S01-E01-T02.c3d,atletas\B0393\2017-03-07-B0393-S01\2017-03-07-B0393-S01-E01-T02.c3d,B0393,S01,E01,T02,250.0,mm,deg,N,Nmm,W,191,1551,6.204,74,B0393,B0393,0,28,True,True,True,True,True,True,True
2017-03-07-B0393-S01-E02-T01.c3d,atletas\B0393\2017-03-07-B0393-S01\2017-03-07-B0393-S01-E02-T01.c3d,B0393,S01,E02,T01,250.0,mm,deg,N,Nmm,W,195,2549,10.196,74,Tarcza|B0393,Tarcza|B0393,4,28,True,True,True,True,True,True,True
2017-03-07-B0393-S01-E02-T02.c3d,atletas\B0393\2017-03-07-B0393-S01\2017-03-07-B0393-S01-E02-T02.c3d,B0393,S01,E02,T02,250.0,mm,deg,N,Nmm,W,195,2714,10.856,74,Tarcza|B0393,Tarcza|B0393,4,28,True,True,True,True,True,True,True
2017-03-07-B0393-S01-E02-T03.c3d,atletas\B0393\2017-03-07-B0393-S01\2017-03-07-B0393-S01-E02-T03.c3d,B0393,S01,E02,T03,250.0,mm,deg,N,Nmm,W,195,2514,10.056,74,Tarcza|B0393,Tarcza|B0393,4,28,True,True,True,True,True,True,True
2017-03-07-B0393-S01-E02-T04.c3d,atletas\B0393\2017-03-07-B0393-S01\2017-03-07-B0393-S01-E02-T04.c3d,B0393,S01,E02,T04,250.0,mm,deg,N,Nmm,W,195,1419,5.676,74,Tarcza|B0393,Tarcza|B0393,4,28,True,True,True,True,True,True,True
2017-03-07-B0393-S01-E02-T05.c3d,atletas\B0393\2017-03-07-B0393-S01\2017-03-07-B0393-S01-E02-T05.c3d,B0393,S01,E02,T05,250.0,mm,deg,N,Nmm,W,195,1380,5.52,74,Tarcza|B0393,Tarcza|B0393,4,28,True,True,True,True,True,True,True
2017-03-07-B0393-S01-E03-T01.c3d,atletas\B0393\2017-03-07-B0393-S01\2017-03-07-B0393-S01-E03-T01.c3d,B0393,S01,E03,T01,250.0,mm,deg,N,Nmm,W,382,2677,10.708,25,B0394|B0393,B0394|B0393,0,28,True,True,True,True,True,True,True
2017-03-07-B0393-S01-E03-T02.c3d,atletas\B0393\2017-03-07-B0393-S01\2017-03-07-B0393-S01-E03-T02.c3d,B0393,S01,E03,T02,250.0,mm,deg,N,Nmm,W,382,1835,7.34,25,B0394|B0393,B0394|B0393,0,28,True,True,True,True,True,True,True
2017-03-07-B0393-S01-E04-T01.c3d,atletas\B0393\2017-03-07-B0393-S01\2017-03-07-B0393-S01-E04-T01.c3d,B0393,S01,E04,T01,250.0,mm,deg,N,Nmm,W,382,2230,8.92,25,B0394|B0393,B0394|B0393,0,28,True,True,True,True,True,True,True
2017-03-07-B0393-S01-E04-T02.c3d,atletas\B0393\2017-03-07-B0393-S01\2017-03-07-B0393-S01-E04-T02.c3d,B0393,S01,E04,T02,250.0,mm,deg,N,Nmm,W,382,2820,11.28,25,B0394|B0393,B0394|B0393,0,28,True,True,True,True,True,True,True
2017-03-07-B0393-S02-E01-T01.c3d,atletas\B0393\2017-03-07-B0393-S02\2017-03-07-B0393-S02-E01-T01.c3d,B0393,S02,E01,T01,250.0,mm,deg,N,Nmm,W,191,2344,9.376,74,B0393,B0393,0,28,True,True,True,True,True,True,True
2017-03-07-B0393-S02-E01-T02.c3d,atletas\B0393\2017-03-07-B0393-S02\2017-03-07-B0393-S02-E01-T02.c3d,B0393,S02,E01,T02,250.0,mm,deg,N,Nmm,W,191,1618,6.472,74,B0393,B0393,0,28,True,True,True,True,True,True,True
2017-03-07-B0393-S02-E02-T01.c3d,atletas\B0393\2017-03-07-B0393-S02\2017-03-07-B0393-S02-E02-T01.c3d,B0393,S02,E02,T01,250.0,mm,deg,N,Nmm,W,195,1706,6.824,74,Tarcza|B0393,Tarcza|B0393,4,28,True,True,True,True,True,True,True
2017-03-07-B0393-S02-E02-T02.c3d,atletas\B0393\2017-03-07-B0393-S02\2017-03-07-B0393-S02-E02-T02.c3d,B0393,S02,E02,T02,250.0,mm,deg,N,Nmm,W,195,1782,7.128,74,Tarcza|B0393,Tarcza|B0393,4,28,True,True,True,True,True,True,True
2017-03-07-B0393-S02-E03-T01.c3d,atletas\B0393\2017-03-07-B0393-S02\2017-03-07-B0393-S02-E03-T01.c3d,B0393,S02,E03,T01,250.0,mm,deg,N,Nmm,W,382,2034,8.136,25,B0394|B0393,B0394|B0393,0,28,True,True,True,True,True,True,True
2017-03-07-B0393-S02-E03-T02.c3d,atletas\B0393\2017-03-07-B0393-S02\2017-03-07-B0393-S02-E03-T02.c3d,B0393,S02,E03,T02,250.0,mm,deg,N,Nmm,W,382,1983,7.932,25,B0394|B0393,B0394|B0393,0,28,True,True,True,True,True,True,True
2017-03-07-B0393-S02-E04-T01.c3d,atletas\B0393\2017-03-07-B0393-S02\2017-03-07-B0393-S02-E04-T01.c3d,B0393,S02,E04,T01,250.0,mm,deg,N,Nmm,W,382,2008,8.032,25,B0394|B0393,B0394|B0393,0,28,True,True,True,True,True,True,True
2017-03-07-B0393-S02-E04-T02.c3d,atletas\B0393\2017-03-07-B0393-S02\2017-03-07-B0393-S02-E04-T02.c3d,B0393,S02,E04,T02,250.0,mm,deg,N,Nmm,W,382,2164,8.656,25,B0394|B0393,B0394|B0393,0,28,True,True,True,True,True,True,True
2017-03-07-B0393-S03-E01-T01.c3d,atletas\B0393\2017-03-07-B0393-S03\2017-03-07-B0393-S03-E01-T01.c3d,B0393,S03,E01,T01,250.0,mm,deg,N,Nmm,W,191,1612,6.448,74,B0393,B0393,0,28,True,True,True,True,True,True,True
2017-03-07-B0393-S03-E01-T02.c3d,atletas\B0393\2017-03-07-B0393-S03\2017-03-07-B0393-S03-E01-T02.c3d,B0393,S03,E01,T02,250.0,mm,deg,N,Nmm,W,191,1885,7.54,74,B0393,B0393,0,28,True,True,True,True,True,True,True
2017-03-07-B0393-S03-E02-T01.c3d,atletas\B0393\2017-03-07-B0393-S03\2017-03-07-B0393-S03-E02-T01.c3d,B0393,S03,E02,T01,250.0,mm,deg,N,Nmm,W,195,1486,5.944,74,Tarcza|B0393,Tarcza|B0393,4,28,True,True,True,True,True,True,True
2017-03-07-B0393-S03-E02-T02.c3d,atletas\B0393\2017-03-07-B0393-S03\2017-03-07-B0393-S03-E02-T02.c3d,B0393,S03,E02,T02,250.0,mm,deg,N,Nmm,W,195,2056,8.224,74,Tarcza|B0393,Tarcza|B0393,4,28,True,True,True,True,True,True,True
2017-03-07-B0393-S03-E02-T03.c3d,atletas\B0393\2017-03-07-B0393-S03\2017-03-07-B0393-S03-E02-T03.c3d,B0393,S03,E02,T03,250.0,mm,deg,N,Nmm,W,195,1370,5.48,74,Tarcza|B0393,Tarcza|B0393,4,28,True,True,True,True,True,True,True
2017-03-07-B0393-S03-E03-T01.c3d,atletas\B0393\2017-03-07-B0393-S03\2017-03-07-B0393-S03-E03-T01.c3d,B0393,S03,E03,T01,250.0,mm,deg,N,Nmm,W,382,2727,10.908,25,B0394|B0393,B0394|B0393,0,28,True,True,True,True,True,True,True
2017-03-07-B0393-S03-E03-T02.c3d,atletas\B0393\2017-03-07-B0393-S03\2017-03-07-B0393-S03-E03-T02.c3d,B0393,S03,E03,T02,250.0,mm,deg,N,Nmm,W,382,1983,7.932,25,B0394|B0393,B0394|B0393,0,28,True,True,True,True,True,True,True
2017-03-07-B0393-S03-E04-T01.c3d,atletas\B0393\2017-03-07-B0393-S03\2017-03-07-B0393-S03-E04-T01.c3d,B0393,S03,E04,T01,250.0,mm,deg,N,Nmm,W,382,3146,12.584,25,B0394|B0393,B0394|B0393,0,28,True,True,True,True,True,True,True
2017-03-07-B0393-S03-E04-T02.c3d,atletas\B0393\2017-03-07-B0393-S03\2017-03-07-B0393-S03-E04-T02.c3d,B0393,S03,E04,T02,250.0,mm,deg,N,Nmm,W,382,2235,8.94,25,B0394|B0393,B0394|B0393,0,28,True,True,True,True,True,True,True
