file_name,source_path,athlete_id,technique,condition,trial,sampling_rate_hz,units_position,units_angle,units_force,units_moment,units_power,number_of_points,number_of_frames,duration_s,number_of_derived_variables,subject_ids,subject_prefixes,tarcza_marker_count,analog_used,signal_avail_RFIN,signal_avail_RTOE,signal_avail_LTOE,signal_avail_RANK,signal_avail_LANK,signal_avail_RHEE,signal_avail_LHEE
2017-03-28-B0402-S01-E01-T01.c3d,atletas\B0402\2017-03-28-B0402-S01\2017-03-28-B0402-S01-E01-T01.c3d,B0402,S01,E01,T01,250.0,mm,deg,N,Nmm,W,191,1830,7.32,74,B0402,B0402,0,0,True,True,True,True,True,True,True
2017-03-28-B0402-S01-E01-T02.c3d,atletas\B0402\2017-03-28-B0402-S01\2017-03-28-B0402-S01-E01-T02.c3d,B0402,S01,E01,T02,250.0,mm,deg,N,Nmm,W,191,2311,9.244,74,B0402,B0402,0,0,True,True,True,True,True,True,True
2017-03-28-B0402-S01-E02-T01.c3d,atletas\B0402\2017-03-28-B0402-S01\2017-03-28-B0402-S01-E02-T01.c3d,B0402,S01,E02,T01,250.0,mm,deg,N,Nmm,W,195,1732,6.928,74,Tarcza|B0402,Tarcza|B0402,4,0,True,True,True,True,True,True,True
2017-03-28-B0402-S01-E02-T02.c3d,atletas\B0402\2017-03-28-B0402-S01\2017-03-28-B0402-S01-E02-T02.c3d,B0402,S01,E02,T02,250.0,mm,deg,N,Nmm,W,195,2016,8.064,74,Tarcza|B0402,Tarcza|B0402,4,0,True,True,True,True,True,True,True
2017-03-28-B0402-S01-E03-T01.c3d,atletas\B0402\2017-03-28-B0402-S01\2017-03-28-B0402-S01-E03-T01.c3d,B0402,S01,E03,T01,250.0,mm,deg,N,Nmm,W,382,2007,8.028,25,B0403|B0402,B0403|B0402,0,0,True,True,True,True,True,True,True
2017-03-28-B0402-S01-E03-T02.c3d,atletas\B0402\2017-03-28-B0402-S01\2017-03-28-B0402-S01-E03-T02.c3d,B0402,S01,E03,T02,250.0,mm,deg,N,Nmm,W,382,1821,7.284,25,B0403|B0402,B0403|B0402,0,0,True,True,True,True,True,True,True
2017-03-28-B0402-S01-E04-T01.c3d,atletas\B0402\2017-03-28-B0402-S01\2017-03-28-B0402-S01-E04-T01.c3d,B0402,S01,E04,T01,250.0,mm,deg,N,Nmm,W,382,3466,13.864,25,B0403|B0402,B0403|B0402,0,0,True,True,True,True,True,True,True
2017-03-28-B0402-S01-E04-T02.c3d,atletas\B0402\2017-03-28-B0402-S01\2017-03-28-B0402-S01-E04-T02.c3d,B0402,S01,E04,T02,250.0,mm,deg,N,Nmm,W,382,1679,6.716,25,B0403|B0402,B0403|B0402,0,0,True,True,True,True,True,True,True
2017-03-28-B0402-S02-E01-T01.c3d,atletas\B0402\2017-03-28-B0402-S02\2017-03-28-B0402-S02-E01-T01.c3d,B0402,S02,E01,T01,250.0,mm,deg,N,Nmm,W,191,2305,9.22,74,B0402,B0402,0,0,True,True,True,True,True,True,True
2017-03-28-B0402-S02-E02-T01.c3d,atletas\B0402\2017-03-28-B0402-S02\2017-03-28-B0402-S02-E02-T01.c3d,B0402,S02,E02,T01,250.0,mm,deg,N,Nmm,W,195,1868,7.472,74,Tarcza|B0402,Tarcza|B0402,4,0,True,True,True,True,True,True,True
